Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chris Boucher,PF,30,TOR,75,0,20.1,3.4,7.0,.490,0.8,2.5,.328,2.6,4.5,.582,.550,1.7,2.2,.759,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4
James Bouknight,SG,22,CHO,33,0,14.8,2.0,5.5,.359,0.9,3.1,.307,1.0,2.4,.425,.445,0.5,0.8,.667,0.2,1.9,2.1,1.2,0.4,0.2,0.9,1.4,5.4
Jamaree Bouyea,PG,23,TOT,5,0,14.2,1.2,2.8,.429,0.4,1.2,.333,0.8,1.6,.500,.500,0.2,0.4,.500,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0
Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,.462,0.5,1.3,.400,1.0,2.0,.500,.538,0.3,0.5,.500,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8
Jamaree Bouyea,PG,23,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,.500,0.3,0.4,.600,0.3,0.6,.429,.625,0.3,0.3,1.000,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
Malaki Branham,SF,19,SAS,64,30,23.4,4.0,9.2,.435,1.2,3.8,.305,2.8,5.3,.529,.499,0.8,1.0,.810,0.4,2.3,2.7,2.0,0.5,0.1,1.2,1.8,9.9
Jarrell Brantley,PF,26,UTA,4,0,9.8,2.0,3.5,.571,1.0,2.3,.444,1.0,1.3,.800,.714,0.5,0.5,1.000,0.3,1.3,1.5,0.8,0.0,0.5,0.5,0.8,5.5
Christian Braun,SG,21,DEN,74,5,15.3,1.8,3.7,.493,0.5,1.2,.370,1.4,2.4,.556,.555,0.5,0.8,.596,0.6,1.7,2.3,0.8,0.5,0.2,0.4,1.3,4.5
Mikal Bridges,SF,26,TOT,82,82,36.1,7.2,15.5,.468,2.1,5.4,.382,5.2,10.1,.514,.535,3.9,4.3,.895,1.0,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.4
